site,category
chase.com                                                                                                                                                                                               ,Finance/Banking                                                                                                                                                                                         
alipay.com                                                                                                                                                                                              ,Finance/Financial_Management                                                                                                                                                                            
leboncoin.fr                                                                                                                                                                                            ,Shopping/Classifieds                                                                                                                                                                                    
tianya.cn                                                                                                                                                                                               ,Recreation_and_Hobbies/Theme_Parks                                                                                                                                                                      
news.yahoo.co.jp                                                                                                                                                                                        ,News_and_Media                                                                                                                                                                                          
thepiratebay.org                                                                                                                                                                                        ,Arts_and_Entertainment/Music_and_Audio                                                                                                                                                                  
sahibinden.com                                                                                                                                                                                          ,Shopping/Classifieds                                                                                                                                                                                    
google.com.sg                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
dailymotion.com                                                                                                                                                                                         ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
360doc.cn                                                                                                                                                                                               ,Internet_and_Telecom/Chats_and_Forums                                                                                                                                                                   
etsy.com                                                                                                                                                                                                ,Shopping/General_Merchandise                                                                                                                                                                            
wellsfargo.com                                                                                                                                                                                          ,Finance/Banking                                                                                                                                                                                         
tubidy.mobi                                                                                                                                                                                             ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
google.com.ec                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
cnn.com                                                                                                                                                                                                 ,News_and_Media                                                                                                                                                                                          
google.com.pk                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
bp.blogspot.com                                                                                                                                                                                         ,News_and_Media                                                                                                                                                                                          
target.com                                                                                                                                                                                              ,Shopping                                                                                                                                                                                                
ask.fm                                                                                                                                                                                                  ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.at                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
mi.com                                                                                                                                                                                                  ,Internet_and_Telecom                                                                                                                                                                                    
dailymail.co.uk                                                                                                                                                                                         ,News_and_Media/Newspapers                                                                                                                                                                               
ameblo.jp                                                                                                                                                                                               ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
beeg.com                                                                                                                                                                                                ,Adult                                                                                                                                                                                                   
steamcommunity.com                                                                                                                                                                                      ,Games/Online                                                                                                                                                                                            
onlinevideoconverter.com                                                                                                                                                                                ,Computer_and_Electronics                                                                                                                                                                                
vip.com                                                                                                                                                                                                 ,Shopping/Clothing                                                                                                                                                                                       
bbc.com                                                                                                                                                                                                 ,News_and_Media                                                                                                                                                                                          
badoo.com                                                                                                                                                                                               ,People_and_Society/Relationships_and_Dating                                                                                                                                                             
yandex.com.tr                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
orange.fr                                                                                                                                                                                               ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
uptodown.com                                                                                                                                                                                            ,Computer_and_Electronics/Software                                                                                                                                                                       
nytimes.com                                                                                                                                                                                             ,News_and_Media/Newspapers                                                                                                                                                                               
google.bg                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
msmtrakk04a.com                                                                                                                                                                                         ,
1688.com                                                                                                                                                                                                ,Business_and_Industry                                                                                                                                                                                   
dmm.co.jp                                                                                                                                                                                               ,Adult                                                                                                                                                                                                   
facebook.com                                                                                                                                                                                            ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.com                                                                                                                                                                                              ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
youtube.com                                                                                                                                                                                             ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
baidu.com                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
vk.com                                                                                                                                                                                                  ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
sogou.com                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
yahoo.com                                                                                                                                                                                               ,News_and_Media                                                                                                                                                                                          
qq.com                                                                                                                                                                                                  ,News_and_Media                                                                                                                                                                                          
wikipedia.org                                                                                                                                                                                           ,Reference/Dictionaries_and_Encyclopedias                                                                                                                                                                
instagram.com                                                                                                                                                                                           ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.com.br                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.co.in                                                                                                                                                                                            ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
twitter.com                                                                                                                                                                                             ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
amazon.com                                                                                                                                                                                              ,Shopping/General_Merchandise                                                                                                                                                                            
xvideos.com                                                                                                                                                                                             ,Adult                                                                                                                                                                                                   
yandex.ru                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
yidianzixun.com                                                                                                                                                                                         ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
live.com                                                                                                                                                                                                ,Internet_and_Telecom/Email                                                                                                                                                                              
google.co.uk                                                                                                                                                                                            ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
xnxx.com                                                                                                                                                                                                ,Adult                                                                                                                                                                                                   
ok.ru                                                                                                                                                                                                   ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.ru                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
sm.cn                                                                                                                                                                                                   ,Business_and_Industry                                                                                                                                                                                   
google.com.mx                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.co.id                                                                                                                                                                                            ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.de                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.com.tr                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.fr                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.co.jp                                                                                                                                                                                            ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
mail.ru                                                                                                                                                                                                 ,Internet_and_Telecom/Email                                                                                                                                                                              
taobao.com                                                                                                                                                                                              ,Shopping/General_Merchandise                                                                                                                                                                            
pornhub.com                                                                                                                                                                                             ,Adult                                                                                                                                                                                                   
google.it                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.es                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
googleweblight.com                                                                                                                                                                                      ,
yahoo.co.jp                                                                                                                                                                                             ,News_and_Media                                                                                                                                                                                          
ebay.com                                                                                                                                                                                                ,Shopping/General_Merchandise                                                                                                                                                                            
google.pl                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
xhamster.com                                                                                                                                                                                            ,Adult                                                                                                                                                                                                   
naver.com                                                                                                                                                                                               ,News_and_Media                                                                                                                                                                                          
reddit.com                                                                                                                                                                                              ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.ca                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
bing.com                                                                                                                                                                                                ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.co.th                                                                                                                                                                                            ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
netflix.com                                                                                                                                                                                             ,Arts_and_Entertainment/TV_and_Video                                                                                                                                                                     
tumblr.com                                                                                                                                                                                              ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.com.ar                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
craigslist.org                                                                                                                                                                                          ,Shopping/Classifieds                                                                                                                                                                                    
10086.cn                                                                                                                                                                                                ,Internet_and_Telecom/Telecommunications                                                                                                                                                                 
tmall.com                                                                                                                                                                                               ,Shopping/General_Merchandise                                                                                                                                                                            
sina.cn                                                                                                                                                                                                 ,Business_and_Industry                                                                                                                                                                                   
msn.com                                                                                                                                                                                                 ,News_and_Media                                                                                                                                                                                          
pinterest.com                                                                                                                                                                                           ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.com.au                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
sohu.com                                                                                                                                                                                                ,News_and_Media                                                                                                                                                                                          
aliexpress.com                                                                                                                                                                                          ,Shopping/General_Merchandise                                                                                                                                                                            
jd.com                                                                                                                                                                                                  ,Shopping/Consumer_Electronics                                                                                                                                                                           
google.com.co                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.com.vn                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
amazon.de                                                                                                                                                                                               ,Shopping/General_Merchandise                                                                                                                                                                            
linkedin.com                                                                                                                                                                                            ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
google.com.ph                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
samsung.com                                                                                                                                                                                             ,Computer_and_Electronics/Consumer_Electronics                                                                                                                                                           
google.com.tw                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
accuweather.com                                                                                                                                                                                         ,News_and_Media/Weather                                                                                                                                                                                  
google.com.ua                                                                                                                                                                                           ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
google.nl                                                                                                                                                                                               ,Internet_and_Telecom/Search_Engine                                                                                                                                                                      
imdb.com                                                                                                                                                                                                ,Arts_and_Entertainment/Movies                                                                                                                                                                           
weibo.cn                                                                                                                                                                                                ,Shopping                                                                                                                                                                                                
imgur.com                                                                                                                                                                                               ,Internet_and_Telecom/File_Sharing                                                                                                                                                                       
wordpress.com                                                                                                                                                                                           ,Internet_and_Telecom                                                                                                                                                                                    
whatsapp.com                                                                                                                                                                                            ,Internet_and_Telecom/Social_Network                                                                                                                                                                     
paypal.com                                                                                                                                                                                              ,Finance/Financial_Management                                                                                                                                                                            
163.com                                                                                                                                                                                                 ,News_and_Media                                                                                                                                                                                          
amazon.co.uk                                                                                                                                                                                            ,Shopping/General_Merchandise                                                                                                                                                                            
amazon.co.jp                                                                                                                                                                                            ,Shopping/General_Merchandise                                                                                                                                                                            
